Puzzle,Category,Date,Episode_Number,Round
BIRTHDAY CANDLES,Things,4/30/14,#6013,T3
CRAB-STUFFED LOBSTER TAILS,Food & Drink,4/30/14,#6013,R4
HIT THE SACK,Phrase,4/30/14,#6013,BR
YOU HEARD IT HERE FIRST,Phrase,5/1/14,#6014,T1
CERAMIC DALMATIAN,Around the House,5/1/14,#6014,T2
MONUMENTAL ACHIEVEMENT,Thing,5/1/14,#6014,R1
WILL SMITH IN INDEPENDENCE DAY,The 90's,5/1/14,#6014,R2
PRIVATE DINING UNDER THE STARS,Event,5/1/14,#6014,R3*
CANDY SHOP,Place,5/1/14,#6014,T3
SCORING THE WINNING GOAL,Fun & Games,5/1/14,#6014,R4
VALIANT EFFORT,Thing,5/1/14,#6014,BR
AMERICA'S GAME,Phrase,5/2/14,#6015,T1
I WILL ALWAYS LOVE YOU,Song Lyrics,5/2/14,#6015,T2
ROBIN WILLIAMS AS MRS. DOUBTFIRE,The 90's,5/2/14,#6015,R1
PERSONALIZED PLUSH PILLOWS,Same Letter,5/2/14,#6015,R2
LUSH JUNGLE VEGETATION,Living Thing,5/2/14,#6015,R3*
WAX ON WAX OFF,Movie Quote,5/2/14,#6015,T3
SETTING A WORLD RECORD,Event,5/2/14,#6015,R4
ROCKEFELLER CENTER,Landmark,5/2/14,#6015,R5
BIKE PUMP,Thing,5/2/14,#6015,BR
DESIGNER THROW PILLOWS,Around the House,5/5/14,#6016,T1
SPEAKING MY MIND,What Are You Doing?,5/5/14,#6016,T2
THE BEST DAY BY TAYLOR SWIFT,Song/Artist,5/5/14,#6016,R1
DON'T MAKE ME PULL THIS CAR OVER,Phrase,5/5/14,#6016,R2
BREATHTAKING MARINE HABITAT,Place,5/5/14,#6016,R3*
THE NOBEL PEACE PRIZE,Thing,5/5/14,#6016,T3
ICE-COLD LEMONADE,Food & Drink,5/5/14,#6016,R4
RAPID GROWTH,Thing,5/5/14,#6016,BR
YELLOW ROSES,Living Things,5/6/14,#6017,T1
REHEARSAL DINNER,Event,5/6/14,#6017,T2
BLACK-AND-WHITE PHOTOGRAPHS,Around the House,5/6/14,#6017,R1
BIRTH AND GIFT CERTIFICATE,Same Name,5/6/14,#6017,R2
GARDENS WATERFALLS AND BEACHES,Things,5/6/14,#6017,R3*
BACKGAMMON BOARD,Fun & Games,5/6/14,#6017,T3
I DON'T CARE WHO STARTED IT,Phrase,5/6/14,#6017,R4
KANGAROO POUCH,Thing,5/6/14,#6017,BR
ENGRAVED JEWELRY BOX,Around the House,5/7/14,#6018,T1
MOONSTRUCK,Movie Title,5/7/14,#6018,T2
WHERE WOULD WE BE WITHOUT YOU?,Phrase,5/7/14,#6018,R1
MOM'S MONOGRAMMED MUG,Same Letter,5/7/14,#6018,R2
SPLASHING IN THE CRYSTAL CLEAR OCEAN,Fun & Games,5/7/14,#6018,R3*
SUSAN SARANDON,Proper Name,5/7/14,#6018,T3
SPRING FASHION SHOW,Event,5/7/14,#6018,R4
BARELY ENOUGH,Phrase,5/7/14,#6018,BR
MOTHER'S LITTLE HELPER,Person,5/8/14,#6019,T1
A CUP OF HOT COCOA,Food & Drink,5/8/14,#6019,T2
KEEP YOUR ELBOWS OFF THE TABLE,Phrase,5/8/14,#6019,R1
STUNT DOUBLE COUPONS,Before & After,5/8/14,#6019,R2
SETTING SAIL FOR THE MEDITERRANEAN,What Are You Doing?,5/8/14,#6019,R3*
BEDTIME STORY,Thing,5/8/14,#6019,T3
JOHN TRAVOLTA IN HAIRSPRAY,Show Biz,5/8/14,#6019,R4
PRIVATE HIDEAWAY,Place,5/8/14,#6019,BR
SOME DAY YOU'LL THANK ME,Phrase,5/9/14,#6020,T1
POTTED PLANTS,Living Things,5/9/14,#6020,T2
SINGING SUPERSTAR CELINE DION,Show Biz,5/9/14,#6020,R1
THIRD TIME'S THE CHARM BRACELET,Before & After,5/9/14,#6020,R2
A SPRAWLING ALL-INCLUSIVE RESORT,Place,5/9/14,#6020,R3*
THE SOUND OF MUSIC,Title,5/9/14,#6020,T3
CHINESE CHICKEN SALAD,Food & Drink,5/9/14,#6020,R4
PAY A VISIT,Phrase,5/9/14,#6020,BR
RIDING THE WAVES,Fun & Games,5/12/14,#6021,T1
LONG EYELASHES,Things,5/12/14,#6021,T2
BACK BY POPULAR DEMAND,Phrase,5/12/14,#6021,R1
LITTLE BOY BLUE WHALE,Before & After,5/12/14,#6021,R2
FALLING ASLEEP IN A HAMMOCK,What Are You Doing?,5/12/14,#6021,R3*
BAMBOO SHOOTS,Food & Drink,5/12/14,#6021,T3
HAPPY HOMEOWNERS,People,5/12/14,#6021,R4
STAY AFLOAT,Phrase,5/12/14,#6021,BR
GRASS SKIRT,Thing,5/13/14,#6022,T1
TEAM CAPTAIN,Person,5/13/14,#6022,T2
UNDER THE BOARDWALK DOWN BY THE SEA,Song Lyrics,5/13/14,#6022,R1
REQUIRES IMMEDIATE ATTENTION,Phrase,5/13/14,#6022,R2
TUCKED AWAY IN A SECLUDED BAY,Rhyme Time,5/13/14,#6022,R3*
TIC-TAC-TOE,Fun & Games,5/13/14,#6022,T3
RACING AGAINST THE CLOCK,What Are You Doing?,5/13/14,#6022,R4
VIVID IMAGINATION,Thing,5/13/14,#6022,BR
BLACK SAND BEACH,Place,5/14/14,#6023,T1
PUSH-UPS AND SIT-UPS,Things,5/14/14,#6023,T2
THEY'RE PLAYING OUR SONG,Phrase,5/14/14,#6023,R1
CUTE CUDDLY CALICO CATS,Same Letter,5/14/14,#6023,R2
PRACTICING MY FLAMENCO DANCING,Fun & Games,5/14/14,#6023,R3*
BLOWING KISSES,What Are You Doing?,5/14/14,#6023,T3
GRAPEFRUIT JUICE,Food & Drink,5/14/14,#6023,R4
CAKE ICING,Food & Drink,5/14/14,#6023,BR
HONOLULU,On the Map,5/15/14,#6024,T1
THE NORTH STAR,Thing,5/15/14,#6024,T2
GRAND MARSHAL OF THE PARADE,Person,5/15/14,#6024,R1
KEEP YOUR DISTANCE RUNNER,Before & After,5/15/14,#6024,R2
SWIM-UP BARS & TENNIS COURTS,Places,5/15/14,#6024,R3*
JELLYFISH,Living Thing,5/15/14,#6024,T3
GOODNESS GRACIOUS,Phrase,5/15/14,#6024,R4
HEAVENLY BODY,Thing,5/15/14,#6024,BR
FAIRY-TALE WEDDING,Event,5/16/14,#6025,T1
SWEETENING THE DEAL,What Are You Doing?,5/16/14,#6025,T2
BACKSTROKE AND SIDESTROKE,Fun & Games,5/16/14,#6025,R1
MEN ARE FROM MARS WOMEN ARE FROM VENUS FLYTRAP,Before & After,5/16/14,#6025,R2
WHERE DO YOU THINK YOU'RE GOING?,Phrase,5/16/14,#6025,R3*
ALMOST FAMOUS,Movie Title,5/16/14,#6025,T3
GOOD SPORTSMANSHIP,Thing,5/16/14,#6025,R4
TIGHTROPE WALKER,Person,5/16/14,#6025,BR
THE RIGHT PRICE,Phrase,5/19/14,#6026,T1
HUGS AND KISSES,Things,5/19/14,#6026,T2
THAT'S WHAT FRIENDS ARE FOR,Song Lyrics,5/19/14,#6026,R1
A HEART OF GOLD COINS,Before & After,5/19/14,#6026,R2
CLEARING MY CALENDAR,What Are You Doing?,5/19/14,#6026,R3*
FIGURE SKATER,Person,5/19/14,#6026,T3
PILLOWS AND COMFORTERS,Around the House,5/19/14,#6026,R4
UNSOLICITED ADVICE,Thing,5/19/14,#6026,BR
PURCHASING POWER,Thing,5/20/14,#6027,T1
HANSEL AND GRETEL,Characters,5/20/14,#6027,T2
GAZING INTO A CRYSTAL BALL,What Are You Doing?,5/20/14,#6027,R1
HERE'S MY NUMBER SO CALL ME MAYBE,Song Lyrics,5/20/14,#6027,R2
LUCK LITERATURE & LEPRECHAUNS,Same Letter,5/20/14,#6027,R3*
PRIVATE PARTY,Event,5/20/14,#6027,T3
MARBLE COUNTERTOP,In the Kitchen,5/20/14,#6027,R4
HOLD YOUR HORSES,Phrase,5/20/14,#6027,R5
BACKYARD SWING SET,Fun & Games,5/20/14,#6027,BR
BROWSING ONLINE,What Are You Doing?,5/21/14,#6028,T1
RECORDING STUDIO,Place,5/21/14,#6028,T2
THREE TWO ONE BLAST-OFF,Phrase,5/21/14,#6028,R1
SCRATCHING POST OFFICE,Before & After,5/21/14,#6028,R2
VIEWS OF THE BRILLIANT BLUE SEA,Things,5/21/14,#6028,R3*
FROM ZERO TO HERO,Rhyme Time,5/21/14,#6028,T3
A NICE LONG WEEKEND,Event,5/21/14,#6028,R4
STATE OF EUPHORIA,Phrase,5/21/14,#6028,BR
WHAT A DEAL!,Phrase,5/22/14,#6029,T1
YELLOW JACKETS,Living Things,5/22/14,#6029,T2
SLOW COOKER AND STEAMER,In the Kitchen,5/22/14,#6029,R1
LOOKING AT STARS THROUGH A TELESCOPE,Fun & Games,5/22/14,#6029,R2
PREMIER DIVING DESTINATION,Place,5/22/14,#6029,R3*
LAUGHING UP A STORM,What Are You Doing?,5/22/14,#6029,T3
OFFICIAL LETTERHEAD,Thing,5/22/14,#6029,R4
DON'T QUIBBLE,Phrase,5/22/14,#6029,BR
A GREAT VALUE,Phrase,5/23/14,#6030,T1
KNOCK-KNOCK JOKE,Fun & Games,5/23/14,#6030,T2
KING ARTHUR & THE KNIGHTS OF THE ROUND TABLE,Characters,5/23/14,#6030,R1
COFFEE AND LUCKY BREAK,Same Name,5/23/14,#6030,R2
ROMANTIC OPEN-AIR RESTAURANT,Place,5/23/14,#6030,R3*
CARDIGAN SWEATER,Thing,5/23/14,#6030,T3
CONTEMPORARY ARTIST,Person,5/23/14,#6030,R4
GOING OVERBOARD,Phrase,5/23/14,#6030,BR
SCHOOL'S OUT FOR SUMMER,Song Lyrics,5/26/14,#6031,T1
CONCESSION STAND,Place,5/26/14,#6031,T2
BEACHES BASEBALL & BARBECUES,Same Letter,5/26/14,#6031,R1
GYM BAG OF POTATO CHIPS,Before & After,5/26/14,#6031,R2
GRACEFUL SEA TURTLES,Living Things,5/26/14,#6031,R3*
ELECTRIC LAWN MOWER,Around the House,5/26/14,#6031,T3
SLOWLY BUT SURELY,Phrase,5/26/14,#6031,R4
UNANIMOUS VOTE,Thing,5/26/14,#6031,BR
MERRY-GO-ROUND,Fun & Games,5/27/14,#6032,T1
TUTTI-FRUTTI,Rhyme Time,5/27/14,#6032,T2
THE TONIGHT SHOW STARRING JIMMY FALLON,TV Title,5/27/14,#6032,R1
MULTI-COLORED CONFETTI,Thing,5/27/14,#6032,R2
HOW LONG WILL YOU BE STAYING?,Phrase,5/27/14,#6032,R3*
SPORTING GOODS STORE,Place,5/27/14,#6032,T3
FEELING HOT HOT HOT,Song Lyrics,5/27/14,#6032,R4
LENDING A HELPING HAND,What Are You Doing?,5/27/14,#6032,R5
MIX IT UP,Phrase,5/27/14,#6032,BR
FRESH DAISIES,Living Things,5/28/14,#6033,T1
FORMAL INVITATION,Thing,5/28/14,#6033,T2
TRIPLE CHOCOLATE CAKE,Food & Drink,5/28/14,#6033,R1
LOVELY LITTLE LADYBUGS,Same Letter,5/28/14,#6033,R2
YOU'LL NEED A CONFIRMATION NUMBER,Phrase,5/28/14,#6033,R3*
PATIO FURNITURE,Around the House,5/28/14,#6033,T3
BLOWING UP BALLOONS,Fun & Games,5/28/14,#6033,R4
INSPECTOR GADGET,Character,5/28/14,#6033,R5
BABY GRAND,Thing,5/28/14,#6033,BR
SHORTS AND SANDALS,Things,5/29/14,#6034,T1
BASKETBALL HOOP,Fun & Games,5/29/14,#6034,T2
YOU TOOK THE WORDS RIGHT OUT OF MY MOUTH,Phrase,5/29/14,#6034,R1
MIDNIGHT TRAIN TO GEORGIA PEACH,Before & After,5/29/14,#6034,R2
CLIMBING UP A COCONUT TREE,What Are You Doing?,5/29/14,#6034,R3*
VANITY FAIR,Title,5/29/14,#6034,T3
TOURNAMENT OF CHAMPIONS,Event,5/29/14,#6034,R4
PICNICKERS,People,5/29/14,#6034,BR
MAKING TRAVEL PLANS,What Are You Doing?,5/30/14,#6035,T1
CALENDAR OF EVENTS,Thing,5/30/14,#6035,T2
I WISH THEY ALL COULD BE CALIFORNIA GIRLS,Song Lyrics,5/30/14,#6035,R1
CRACKS IN THE SIDEWALK SALE,Before & After,5/30/14,#6035,R2
NATIONAL LAMPOON'S VACATION,The 80's,5/30/14,#6035,R3*
LOOK WHO'S IN THE LEAD,Phrase,5/30/14,#6035,T3
GRADUATING WITH HONORS,Event,5/30/14,#6035,R4
FIND YOUR GROOVE,Phrase,5/30/14,#6035,BR
JACKSON HOLE WYOMING,On the Map,6/2/14,#6036,T1
MEASURING CUPS,In the Kitchen,6/2/14,#6036,T2
GOOD NIGHT SLEEP TIGHT DON'T LET THE BEDBUGS BITE,Rhyme Time,6/2/14,#6036,R1
PRESS YOUR LUCK OF THE IRISH,Before & After,6/2/14,#6036,R2
SEASIDE GARDEN PARADISE,Place,6/2/14,#6036,R3*
MOTHER GOOSE,Character,6/2/14,#6036,T3
RACE TO THE FINISH,Phrase,6/2/14,#6036,R4
CAPITOL HILL,Landmark,6/2/14,#6036,R5
HIRING PROCESS,Thing,6/2/14,#6036,BR
GARDENING GLOVES,Around the House,6/3/14,#6037,T1
CONVENIENCE STORE,Place,6/3/14,#6037,T2
BRING A HEARTY APPETITE,Phrase,6/3/14,#6037,R1
EMERY BOARD OF DIRECTORS,Before & After,6/3/14,#6037,R2
SOAKING UP THE BEAUTY OF THE BIG ISLAND,What Are You Doing?,6/3/14,#6037,R3*
THE STRONG SILENT TYPE,Person,6/3/14,#6037,T3
MAMA I'M COMING HOME,Song Lyrics,6/3/14,#6037,R4
AMONG FRIENDS,Phrase,6/3/14,#6037,BR
SURF CITY HERE WE COME,Song Lyrics,6/4/14,#6038,T1
REALITY CHECK,Phrase,6/4/14,#6038,T2
CLOSE ENCOUNTERS OF THE THIRD KIND,The 70's,6/4/14,#6038,R1
WEDDING RING AROUND THE COLLAR,Before & After,6/4/14,#6038,R2
WONDERFUL WARM WEATHER,Same Letter,6/4/14,#6038,R3*
PARTY DECORATIONS,Things,6/4/14,#6038,T3
BOSTON MASSACHUSETTS,On the Map,6/4/14,#6038,R4
DOG BOWL,Thing,6/4/14,#6038,BR
NEWPORT RHODE ISLAND,On the Map,6/5/14,#6039,T1
PASSING THE BATON,What Are You Doing?,6/5/14,#6039,T2
TWO-CAR DETACHED GARAGE,Place,6/5/14,#6039,R1
BED BATH & BEYOND THUNDERDOME,Before & After,6/5/14,#6039,R2
SAVOR EVERY SINGLE MOMENT,Phrase,6/5/14,#6039,R3*
FACTS AND FIGURES,Things,6/5/14,#6039,T3
HEAVY-DUTY TOOL CABINET,Around the House,6/5/14,#6039,R4
BUSY BOULEVARD,Place,6/5/14,#6039,BR
A FAMILY TRADITION,Thing,6/6/14,#6040,T1
WINDOW SHADES,Around the House,6/6/14,#6040,T2
O BEAUTIFUL FOR SPACIOUS SKIES,Song Lyrics,6/6/14,#6040,R1
A FEAST FIT FOR A KING KONG,Before & After,6/6/14,#6040,R2
PLENTY OF TIME BEACHCOMBING,Phrase,6/6/14,#6040,R3*
A REAL CHARMER,Person,6/6/14,#6040,T3
ORIGINAL BROADWAY CAST,Show Biz,6/6/14,#6040,R4
SANTA FE NEW MEXICO,On the Map,6/6/14,#6040,R5
YOUR BIGGEST FAN,Person,6/6/14,#6040,BR
SPORTSWRITER,Occupation,6/9/14,#6041,T1
READING A MAP,What Are You Doing?,6/9/14,#6041,T2
WALK LIKE A MAN TALK LIKE A MAN,Song Lyrics,6/9/14,#6041,R1
SUPERSONIC SPEED BUMP,Before & After,6/9/14,#6041,R2
KIWI BANANA AND PASSION FRUIT,Food & Drink,6/9/14,#6041,R3*
CUT TO THE CHASE,Phrase,6/9/14,#6041,T3
THROWING A BOOMERANG,Fun & Games,6/9/14,#6041,R4
LAWN FURNITURE,Around the House,6/9/14,#6041,R5
BART SIMPSON,Character,6/9/14,#6041,R6
ALL-OUT BLITZ,Thing,6/9/14,#6041,BR
THREE MEN AND A BABY,The 80's,6/10/14,#6042,T1
RUNNING THE BASES,Fun & Games,6/10/14,#6042,T2
FIXING THINGS AROUND THE HOUSE,What Are You Doing?,6/10/14,#6042,R1
GIZMOS GADGETS & GAMES,Same Letter,6/10/14,#6042,R2
PLEASE TAKE ME WITH YOU,Phrase,6/10/14,#6042,R3*
JUMPER CABLES,Things,6/10/14,#6042,T3
DADDY LONGLEGS,Living Thing,6/10/14,#6042,R4
MILLIONS AND BILLIONS,Rhyme Time,6/10/14,#6042,R5
POINT AND CLICK,Phrase,6/10/14,#6042,BR
PAPA DON'T PREACH,Song Title,6/11/14,#6043,T1
WHO HAS THE REMOTE?,Phrase,6/11/14,#6043,T2
WATERPROOF WRISTWATCH,Same Letter,6/11/14,#6043,R1
HOLLYWOOD LEGEND SEAN CONNERY,Show Biz,6/11/14,#6043,R2
MONKEYS LEOPARDS AND PARROTS,Living Things,6/11/14,#6043,R3*
HAND-ROLLED CIGARS,Things,6/11/14,#6043,T3
FORMER TEAMMATES,People,6/11/14,#6043,R4
DIGITAL DOWNLOAD,Thing,6/11/14,#6043,BR
A PAIR OF BINOCULARS,Around the House,6/12/14,#6044,T1
BAIT & TACKLE SHOP,Place,6/12/14,#6044,T2
TEACHING TODDLERS TO TALK,Same Letter,6/12/14,#6044,R1
BEER BELLY DANCER,Before & After,6/12/14,#6044,R2
WHEN WILL YOU BE CHECKING IN?,Phrase,6/12/14,#6044,R3*
CATCHING MY SECOND WIND,What Are You Doing?,6/12/14,#6044,T3
EXCELLENT TRACK RECORD,Thing,6/12/14,#6044,R4
JOYOUS OCCASION,Event,6/12/14,#6044,BR
BASEBALL PLAYERS,People,6/13/14,#6045,T1
PARKING THE CAR,What Are You Doing?,6/13/14,#6045,T2
PLIERS HAMMERS AND SCREWDRIVERS,Things,6/13/14,#6045,R1
SHALLOW END OF THE POOL TABLE,Before & After,6/13/14,#6045,R2
WAIT UNTIL YOUR MOM HEARS ABOUT THIS,Phrase,6/13/14,#6045,R3*
DARTH VADER,Character,6/13/14,#6045,T3
O CAPTAIN! MY CAPTAIN!,Quotation,6/13/14,#6045,R4
FULLY GROWN,Phrase,6/13/14,#6045,BR
CLASSROOM RULES,Things,9/15/14,#6046,T1
TABLECLOTH & NAPKINS,Around the House,9/15/14,#6046,T2
A LEGEND IN THE MAKING,Phrase,9/15/14,#6046,R1
RAISE YOUR HAND PUPPET,Before & After,9/15/14,#6046,R2
LAGOONS BAYS AND REEFS,Places,9/15/14,#6046,R3*
CHARLOTTE'S WEB,Title,9/15/14,#6046,T3
GETTING ORGANIZED,What Are You Doing?,9/15/14,#6046,R4
VALIDATION,Thing,9/15/14,#6046,BR
LET'S BRAINSTORM,Phrase,9/16/14,#6047,T1
A SENSE OF HUMOR,Thing,9/16/14,#6047,T2
LOOKING THROUGH A MICROSCOPE,What Are You Doing?,9/16/14,#6047,R1
ABSENCE MAKES THE HEART GROW FONDER,Quotation,9/16/14,#6047,R2
SPECTACULAR OCEANFRONT PLAYGROUND,Place,9/16/14,#6047,R3*
NEWS AND VIEWS,Rhyme Time,9/16/14,#6047,T3
HEAD LIBRARIAN,Occupation,9/16/14,#6047,R4
A BOWL OF FRUIT,Food & Drink,9/16/14,#6047,BR
PLEASE WAIT YOUR TURN,Phrase,9/17/14,#6048,T1
EVERGREEN TREES,Living Things,9/17/14,#6048,T2
THE COMPLETE WORKS OF WILLIAM SHAKESPEARE,Title,9/17/14,#6048,R1
PENS PENCILS & PAPER,Same Letter,9/17/14,#6048,R2
EXCEPTIONAL WILDLIFE PRESERVES,Places,9/17/14,#6048,R3*
THE PACIFIC OCEAN,On the Map,9/17/14,#6048,T3
AWARDS AND CERTIFICATES,Things,9/17/14,#6048,R4
LOUD LAUGHTER,Thing,9/17/14,#6048,BR
SEATING CHART,Thing,9/18/14,#6049,T1
FLOCK OF SHEEP,Living Things,9/18/14,#6049,T2
LITTLE HOUSE ON THE PRAIRIE,Title,9/18/14,#6049,R1
YOU SHOOK ME ALL NIGHT LONG DIVISION,Before & After,9/18/14,#6049,R2
POLYNESIAN CULTURAL CENTER,Landmark,9/18/14,#6049,R3*
BEEFSTEAK TOMATOES,Food & Drink,9/18/14,#6049,T3
BLUE-RIBBON WINNER,Person,9/18/14,#6049,R4
ICONIC GAME,Thing,9/18/14,#6049,BR
THE LAST DAY OF SCHOOL,Event,9/19/14,#6050,T1
WHIPPED CREAM,Food & Drink,9/19/14,#6050,T2
RECOMMENDED READING LIST,Thing,9/19/14,#6050,R1
STUDENT BODY LANGUAGE,Before & After,9/19/14,#6050,R2
THERE GOES MY PERFECT ATTENDANCE,Phrase,9/19/14,#6050,R3*
GREATEST HITS ALBUM,Show Biz,9/19/14,#6050,T3
SLIDING DOWN THE BANISTER,What Are You Doing?,9/19/14,#6050,R4
PIPING HOT BISCUIT,Food & Drink,9/19/14,#6050,BR
SEATTLE WASHINGTON,On the Map,9/22/14,#6051,T1
GREAT HORNED OWL,Living Thing,9/22/14,#6051,T2
DAWN OF THE PLANET OF THE APES,Movie Title,9/22/14,#6051,R1
GO TELL IT ON THE MOUNTAIN GOAT,Before & After,9/22/14,#6051,R2
INCREDIBLE BEACHFRONT PROPERTY,Place,9/22/14,#6051,R3*
BENNIE AND THE JETS,Song Title,9/22/14,#6051,T3
THE EXCEPTION TO THE RULE,Phrase,9/22/14,#6051,R4
JAZZ FESTIVAL,Event,9/22/14,#6051,BR
BALD EAGLES,Living Things,9/23/14,#6052,T1
CLARK KENT & LOIS LANE,Characters,9/23/14,#6052,T2
PACKING DEHYDRATED FOOD,What Are You Doing?,9/23/14,#6052,R1
BOUNCY FLIGHT ATTENDANT,Before & After,9/23/14,#6052,R2
CLEAN QUIET & PICTURESQUE,Phrase,9/23/14,#6052,R3*
COFFEE WITH CREAM & SUGAR,Food & Drink,9/23/14,#6052,T3
MOVIE THEATER USHER,Occupation,9/23/14,#6052,R4
ADORABLE PUPPIES,Living Things,9/23/14,#6052,BR
CRUNCHY GRANOLA BAR,Food & Drink,9/24/14,#6053,T1
WE MADE THE GRADE,Rhyme Time,9/24/14,#6053,T2
THE LIFE OF THE PARTY POOPER,Before & After,9/24/14,#6053,R1
KILLER WHALES LEAPING OUT OF THE OCEAN,Living Things,9/24/14,#6053,R2
A STUNNING TROPICAL VENUE,Place,9/24/14,#6053,R3*
POETRY CONTEST,Event,9/24/14,#6053,T3
TAKING CARE OF BUSINESS,What Are You Doing?,9/24/14,#6053,R4
VALUABLE CARGO,Thing,9/24/14,#6053,BR
CARIBOU CROSSING,Place,9/25/14,#6054,T1
READING THE DIRECTIONS,What Are You Doing?,9/25/14,#6054,T2
ACADEMY AWARD WINNER MERYL STREEP,Show Biz,9/25/14,#6054,R1
BEAVERS BADGERS & BOBCATS,Same Letter,9/25/14,#6054,R2
THE BRITISH VIRGIN ISLANDS,On the Map,9/25/14,#6054,R3*
GRAND OPENING SALE,Event,9/25/14,#6054,T3
FRESH BATCH OF COOKIES,Food & Drink,9/25/14,#6054,R4
SILVER & GOLD,Things,9/25/14,#6054,R5
GOOFING AROUND,What Are You Doing?,9/25/14,#6054,BR
MOOSE AND ELK,Living Things,9/26/14,#6055,T1
ON MY BEST BEHAVIOR,Phrase,9/26/14,#6055,T2
RUSSELL CROWE STARS IN NOAH,Show Biz,9/26/14,#6055,R1
COTTON AND BOWLING BALL,Same Name,9/26/14,#6055,R2
AN OASIS OF INDULGENCE,Place,9/26/14,#6055,R3*
RUNNING IN PLACE,What Are You Doing?,9/26/14,#6055,T3
MEMOIRS AND BIOGRAPHIES,Things,9/26/14,#6055,R4
PAPERBACKS,Things,9/26/14,#6055,BR
FAMILY NIGHT,Event,9/29/14,#6056,T1
OPTIMISTIC OUTLOOK,Thing,9/29/14,#6056,T2
GIVING CREDIT WHERE CREDIT IS DUE,What Are You Doing?,9/29/14,#6056,R1
THE OLDEST TRICK IN THE BOOK CLUB,Before & After,9/29/14,#6056,R2
SCUBA DIVING WITH GIANT MANTA RAYS,Fun & Games,9/29/14,#6056,R3*
THE CREAM OF THE CROP,Phrase,9/29/14,#6056,T3
SHEETS AND PILLOWCASES,Around the House,9/29/14,#6056,R4
GOING BACKSTAGE,What Are You Doing?,9/29/14,#6056,BR
FAITHFUL FRIENDS,People,9/30/14,#6057,T1
LUNAR ECLIPSE,Event,9/30/14,#6057,T2
WHEN THERE'S A WILL THERE'S A WAY,Phrase,9/30/14,#6057,R1
GINGERBREAD & BEST MAN,Same Name,9/30/14,#6057,R2
A VARIETY OF LUXURY ACCOMMODATIONS,Things,9/30/14,#6057,R3*
MATH TEACHER,Occupation,9/30/14,#6057,T3
WORKING ON MY SCRAPBOOK,What Are You Doing?,9/30/14,#6057,R4
GUIDED HIKE,Thing,9/30/14,#6057,BR
I LOVE YOU MOM!,Phrase,10/1/14,#6058,T1
COMFORT FOOD,Thing,10/1/14,#6058,T2
SUNFLOWERS AND APPLE BLOSSOMS,Living Things,10/1/14,#6058,R1
FALSE ALARM CLOCK,Before & After,10/1/14,#6058,R2
A CALMING STRESS-FREE GETAWAY,Event,10/1/14,#6058,R3*
MICROWAVE OVEN,In the Kitchen,10/1/14,#6058,T3
WATCHING THE HIGHLIGHTS,What Are You Doing?,10/1/14,#6058,R4
MOBILE DEVICE,Thing,10/1/14,#6058,BR
MY PRIDE AND JOY,Phrase,10/2/14,#6059,T1
HONOR ROLL STUDENT,Person,10/2/14,#6059,T2
FULFILLING A LIFELONG DREAM,What Are You Doing?,10/2/14,#6059,R1
GONE WITH THE WIND CHIMES,Before & After,10/2/14,#6059,R2
GRAY WHALES AND SEA LIONS,Living Things,10/2/14,#6059,R3*
OFFICE MANAGER,Occupation,10/2/14,#6059,T3
CLOSE-KNIT COMMUNITY,Thing,10/2/14,#6059,R4
JUMP ON THE BANDWAGON,Phrase,10/2/14,#6059,BR
DELICIOUS DINNER,Food & Drink,10/3/14,#6060,T1
WHITE TABLECLOTH,Around the House,10/3/14,#6060,T2
NEXT-DOOR NEIGHBORS,People,10/3/14,#6060,R1
BALLOONS CONFETTI AND STREAMERS,Things,10/3/14,#6060,R2
WHEN THE CAT'S AWAY THE MICE WILL PLAY,Rhyme Time,10/3/14,#6060,R3*
CLIMBING A TREE,Fun & Games,10/3/14,#6060,T3
MAKING A DIFFERENCE,What Are You Doing?,10/3/14,#6060,R4
IT TAKES KNOW-HOW,Phrase,10/3/14,#6060,BR
A BRAND-NEW CAR,Thing,10/6/14,#6061,T1
GROCERY STORE,Place,10/6/14,#6061,T2
THESE ARE A FEW OF MY FAVORITE THINGS,Song Lyrics,10/6/14,#6061,R1
PAID IN FULL MOONS,Before & After,10/6/14,#6061,R2
I PROMISE YOU WON'T BE DISAPPOINTED,Phrase,10/6/14,#6061,R3*
ENDURANCE ATHLETE,Person,10/6/14,#6061,T3
DECORATING A CAKE,What Are You Doing?,10/6/14,#6061,R4
GLAMOROUS IMAGE,Thing,10/6/14,#6061,BR
SHOPPING CENTER,Place,10/7/14,#6062,T1
COMFORTABLE SHOES,Things,10/7/14,#6062,T2
HEY BIG SPENDER SPEND A LITTLE TIME WITH ME,Song Lyrics,10/7/14,#6062,R1
COUCH POTATO MASHER,Before & After,10/7/14,#6062,R2
FAR FROM ALL THE HUSTLE AND BUSTLE,Phrase,10/7/14,#6062,R3*
HEROES AND VILLAINS,People,10/7/14,#6062,T3
SOLD-OUT PERFORMANCE,Show Biz,10/7/14,#6062,R4
LUCKY GUY,Person,10/7/14,#6062,BR
SALES CLERK,Occupation,10/8/14,#6063,T1
FAMILY GATHERING,Event,10/8/14,#6063,T2
GRABBING LUNCH AT THE FOOD COURT,What Are You Doing?,10/8/14,#6063,R1
SNAP CRACKLE POP MUSIC STAR,Before & After,10/8/14,#6063,R2
YOU'VE NEVER SEEN ANYTHING LIKE THIS,Phrase,10/8/14,#6063,R3*
